a_x,a_y,b_x,b_y,p_x,p_y
49,27,35,65,4326,4898
82,64,20,67,6818,10409
75,72,95,15,8360,4749
59,26,15,29,7401,3032
77,38,15,46,13582,10664
39,11,27,40,1367,2880
50,28,20,55,7220,383
63,63,21,97,4200,10964
60,31,13,52,5226,4907
13,96,84,22,7154,10948
68,31,21,61,2715,4889
62,19,80,86,6434,4677
69,23,12,51,14678,3050
49,16,74,92,8637,7908
11,78,75,77,1390,5763
13,63,65,13,10429,5841
70,56,36,98,5934,6062
48,20,12,32,4056,3364
17,43,58,46,5494,5538
33,96,67,34,4214,3248
54,21,13,57,5735,2930
24,68,47,34,5685,8670
33,16,14,34,2667,2436
36,11,42,79,13676,1462
66,25,19,56,4719,18733
90,73,27,72,9378,10813
69,39,35,94,2648,5356
63,20,55,91,7525,9081
44,80,97,47,6841,4547
63,24,29,61,16541,2222
62,14,33,78,504,8112
80,38,15,57,4385,8081
38,65,45,14,3503,17060
43,70,33,11,19669,19086
90,53,20,80,3770,6177
84,72,24,75,3084,7542
56,14,12,78,2140,3760
40,14,11,35,16457,9167
30,56,26,11,1758,1911
46,84,49,11,7409,5661
53,16,25,60,7756,10112
12,51,58,23,11192,10037
79,37,18,55,9850,5282
92,40,29,66,10106,8772
47,27,16,50,7125,13151
45,17,28,72,11120,18168
47,11,13,99,1953,9669
69,46,25,52,7600,8494
51,27,23,69,2316,4806
14,71,88,47,1644,3546
18,35,46,11,9558,2941
61,13,41,91,4435,6539
34,98,82,43,7824,7470
15,48,57,18,13853,7208
55,18,13,39,15982,15563
28,41,43,18,199,10125
15,63,92,83,2547,4326
77,29,25,62,1324,1340
72,26,21,57,11162,14636
79,30,22,36,5320,4536
36,12,36,95,2772,2916
35,56,86,18,4732,2548
51,16,45,82,10163,11136
43,14,47,75,15976,14193
11,94,54,35,3924,8798
50,64,56,12,7288,6464
97,12,20,82,9072,7882
19,75,97,68,9149,10608
46,13,25,55,2126,3593
60,27,15,29,14690,7012
56,23,12,68,5392,3476
11,32,58,26,13242,8184
56,13,23,53,16727,19225
28,91,77,39,5796,9542
43,11,52,86,166,11790
28,11,35,51,928,16119
23,51,94,59,4318,3149
64,14,17,29,2692,690
34,17,21,39,18391,696
64,63,17,70,1491,3332
25,38,43,14,1344,1324
11,64,45,15,13983,18172
36,12,24,70,7376,6276
61,73,87,30,11742,7011
43,34,21,79,3308,5673
91,59,31,89,5143,5057
52,16,13,38,2444,3336
89,33,32,89,4360,3545
11,57,56,19,3779,5459
37,14,19,60,5952,13748
36,17,33,62,3267,1682
22,46,38,23,16324,5275
47,32,19,44,2960,5420
69,21,23,73,1710,6310
50,24,32,59,2194,8839
27,12,32,67,4522,5982
31,46,27,13,15443,4011
23,15,30,61,872,1646
45,23,27,56,4670,15089
97,82,17,76,4139,8306
53,21,63,99,9415,8691
29,60,66,34,6790,9804
11,29,81,59,2188,7032
81,99,65,11,5726,4466
65,11,31,88,19762,1948
15,25,82,45,4199,2690
16,31,39,21,13113,12471
67,48,26,96,5306,6432
91,95,92,18,14189,8257
79,78,12,93,6242,8841
31,82,53,33,5683,5921
65,33,13,48,10845,14051
85,46,16,84,8449,7134
42,92,81,51,8385,8885
20,72,40,25,2640,6648
26,77,57,17,11197,19687
91,21,62,68,8675,5653
35,19,14,27,14851,2188
94,94,14,67,8580,9746
74,26,31,47,6350,4542
58,54,74,12,8248,3924
24,42,37,15,14351,6071
18,53,87,66,5571,7846
47,50,14,66,2910,7542
22,47,53,19,12119,4865
55,30,20,53,7885,212
85,11,80,68,4370,2122
81,32,14,63,7128,12371
15,36,47,22,4189,1830
95,77,27,96,9189,13896
14,92,80,20,8268,5784
40,11,49,50,2187,711
17,52,63,23,219,13789
31,59,55,21,974,1268
18,80,81,16,17585,12592
27,66,55,12,6864,6126
88,93,82,20,4452,1372
14,61,73,11,4295,15239
16,86,61,57,3605,3937
47,15,14,47,17126,13036
12,44,57,25,17342,4318
38,11,42,70,18670,18130
12,57,91,66,8885,7410
53,65,72,26,7245,6331
16,46,55,20,3309,1364
39,85,51,11,14393,1461
38,16,15,28,6466,2416
67,22,32,97,1295,3020
17,64,65,27,13599,6874
64,18,30,75,10406,3707
97,21,56,98,5026,2548
42,22,35,68,5530,6572
31,13,24,49,7108,6795
66,94,89,16,4541,3034
46,19,17,51,11761,3838
32,77,58,15,6526,8354
46,35,11,30,2215,19550
26,47,82,17,7708,3304
37,21,25,88,3748,7294
53,16,13,67,7109,12828
31,44,71,18,3327,4060
52,94,25,15,4234,6748
42,20,27,52,13487,10916
72,28,12,36,7448,6064
28,64,68,33,15452,2894
17,47,58,11,4677,1281
22,99,96,41,4342,10546
48,21,13,42,19657,14438
18,97,87,79,6468,12245
22,95,66,41,1188,1958
99,24,77,81,7238,4248
15,37,56,37,846,17898
44,17,18,64,10310,10570
32,57,54,21,10890,11813
39,13,31,48,10480,12892
94,29,58,67,3368,2856
37,54,33,14,3698,10524
14,88,87,78,2740,6908
30,68,40,13,4710,12879
93,49,11,34,3313,3325
29,62,62,27,1821,18681
19,34,77,21,7073,3197
44,19,11,26,8647,6467
93,17,16,72,5651,6559
80,40,57,94,6467,9194
73,89,49,17,7255,5255
97,14,29,51,10836,5590
73,49,11,33,1138,8774
18,45,42,19,12128,15456
72,85,88,28,6656,7023
44,78,73,43,8759,8701
81,61,18,88,8532,12902
14,64,74,22,6620,5474
67,15,29,83,5560,8666
30,65,70,46,4370,6087
15,62,52,16,19725,12474
40,94,27,11,4401,8087
30,16,27,51,5666,12682
95,44,42,82,9014,10242
37,52,91,31,7684,6439
14,62,68,12,3842,1058
48,16,43,69,2989,1379
53,17,17,77,3113,6293
78,27,41,52,7486,4028
50,78,96,17,4470,4318
35,19,27,63,3947,5575
37,75,50,19,3465,2911
13,35,45,30,12234,17425
24,13,27,52,17189,9415
11,44,75,46,9815,5598
18,34,54,23,16874,15442
36,98,88,32,8056,4288
15,44,27,12,1220,5824
44,37,20,70,1696,1958
45,64,41,19,3330,5191
38,12,49,58,4672,2496
29,12,47,63,16601,7430
78,12,15,81,14060,16766
38,13,16,57,3594,787
32,65,61,25,4411,6250
57,16,13,76,6816,9076
86,43,29,88,5382,7395
33,69,94,53,2776,3077
54,39,21,88,5874,8321
69,21,11,47,14267,12383
16,58,64,24,9392,8654
18,57,95,68,10326,10347
16,59,58,50,3214,4805
83,46,37,90,5156,9112
16,17,86,23,2160,1748
99,95,65,14,5569,4957
13,30,90,56,6456,4280
84,44,11,59,8019,7235
12,70,67,13,15733,5321
66,43,12,41,12650,9495
60,14,29,70,4132,5264
51,78,43,16,1046,7094
13,49,78,40,12665,1581
53,12,63,91,6607,7865
20,50,41,30,3615,5050
12,22,53,27,8918,1734
89,89,87,22,9350,6620
89,17,32,49,8106,1677
72,40,16,52,6264,12268
33,16,34,67,2090,4237
56,21,17,59,7083,1672
11,29,68,26,2416,4576
39,20,19,73,3703,4619
74,15,12,76,4960,3286
37,14,13,59,13171,9330
65,15,25,90,6410,5775
24,49,44,12,9004,16546
94,28,67,90,6441,4230
12,93,76,82,6984,10017
14,53,59,20,6128,395
61,23,49,69,2850,2944
48,82,47,12,4376,13904
13,89,51,51,1816,7364
67,30,16,36,3092,5636
74,99,50,11,5626,3223
88,45,48,89,5424,7221
72,51,38,94,2746,3488
24,99,72,59,7080,9451
45,17,32,57,9723,6928
87,48,42,72,4551,3048
46,52,11,93,4550,9494
57,18,14,52,368,14984
99,14,68,87,8855,8062
25,12,64,94,3097,2942
97,15,88,81,11806,5667
87,12,21,60,7938,6120
17,39,49,35,1428,10060
23,52,43,29,600,879
11,49,82,37,7574,9191
16,75,81,20,16020,8530
15,95,67,80,1559,4020
70,51,15,76,4670,9389
86,15,54,73,8976,6970
17,52,29,12,18080,9392
25,11,42,71,17374,11683
27,42,41,17,1569,10566
28,51,57,28,5371,16859
98,58,51,96,5535,9660
49,15,34,71,528,4268
18,47,90,40,4374,4401
38,84,92,41,10726,10883
17,48,72,36,18856,12548
49,18,51,90,5399,7542
57,14,33,67,8741,7213
77,25,14,57,3668,6279
40,87,20,11,4860,8913
64,39,11,21,5378,2393
19,35,50,20,9101,605
72,18,18,56,10970,10150
47,25,12,28,4918,6618
72,44,19,41,17136,7388
92,19,12,16,4884,1536
25,87,83,42,5153,7812
84,99,91,17,8043,7584
16,99,72,60,7568,9048
26,56,75,33,2104,2218
24,62,40,19,16632,2159
23,61,52,13,14004,5554
25,99,87,42,3260,3834
27,74,32,11,1722,1498
42,13,16,41,2384,856
34,51,97,45,6689,3702
68,14,12,77,14516,9258
81,26,15,48,6846,3018
81,33,18,31,3618,1971
15,82,45,25,2565,8718
87,28,12,70,3527,11050
36,68,98,37,10586,8295
35,21,17,49,15639,725
11,23,36,16,4346,10486
13,42,51,23,7943,10168
78,68,28,83,2970,5050
39,98,92,32,6342,3388
38,11,71,83,6017,4427
60,37,12,87,3960,8412
